,user,task,query,is_generation
0,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task1-1,randomly generate 100 letters,0
1,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task1-2,print current date time,1
2,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task1-2,get date time one week from now,1
3,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task1-2,get gmt timezone,0
4,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task2-1,write to csv file,1
5,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task3-1,recursively iterate over all files in a directory,1
6,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task3-1,regex replace capture group,1
7,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-1,load csv file with pandas,1
8,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-1,get average of row values in pandas dataframe,1
9,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-1,pandas get average of column,0
10,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-1,pandas join dataframes,1
11,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-1,pandas join series into dataframes,0
12,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-1,pandas change dataframe column name,0
13,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-1,rename pandas df columns,0
14,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-1,pandas write df to csv,0
15,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-1,pandas print with two decimals,0
16,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-1,pandas save csv two decimal,0
17,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-1,pandas create buckets by column value,0
18,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-1,filter values in pandas df,0
19,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-1,filter df with two conditions,0
20,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-1,df set column to 7 decimals,0
21,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-1,pandas add new column based on row values,0
22,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-2,multinomial logistic regression model,0
23,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-2,sklearn 5-fold cross validation,0
24,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-2,disable warnings,0
25,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-1,save plt figure,1
26,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-1,plt set x axis tick range,0
27,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-1,plt date as x axis,0
28,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-1,scatter plot purple,0
29,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-1,plt set x axis label,0
30,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-1,plt set xtick font size,0
31,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-1,plt create figure with size,1
32,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-2,group pandas df by two columns,1
33,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-2,bar plot with multiple bars per label,0
34,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-2,plt create 3 subplots,0
35,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-2,matplotlib theme,0
36,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-2,plt show values on bar plot,0
37,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-2,plt ax xlabel,0
38,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-2,plt set x tick labels,0
39,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-2,plt set title for subplot figure,0
40,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-2,plt ax legend,1
41,c4196119198c1bd6dce9ad020501698d,task1-1,random sample with replacement,1
42,c4196119198c1bd6dce9ad020501698d,task1-1,print a to z,0
43,c4196119198c1bd6dce9ad020501698d,task1-1,random sample with replacement,1
44,c4196119198c1bd6dce9ad020501698d,task1-1,sort dict by key,1
45,c4196119198c1bd6dce9ad020501698d,task2-2,list files in folder,1
46,c4196119198c1bd6dce9ad020501698d,task2-2,copy file to other folder,0
47,c4196119198c1bd6dce9ad020501698d,task2-2,text normalize newlines to \n,0
48,c4196119198c1bd6dce9ad020501698d,task2-2,write to file,0
49,c4196119198c1bd6dce9ad020501698d,task2-2,convert text files from encoding ISO-8859-15 to encoding UTF-8.,0
50,c4196119198c1bd6dce9ad020501698d,task2-2,move file to other directory,1
51,2ceafaf6a21d6cb6495038b38ab72061,task1-2,print datetime in mm-dd-yyyy hh:mm  format,1
52,2ceafaf6a21d6cb6495038b38ab72061,task1-2,get time now,1
53,2ceafaf6a21d6cb6495038b38ab72061,task1-2,get now one week from now,0
54,2ceafaf6a21d6cb6495038b38ab72061,task2-1,"open ""data.csv"" file",0
55,2ceafaf6a21d6cb6495038b38ab72061,task2-1,get specific columns by index in pandas data frame,0
56,2ceafaf6a21d6cb6495038b38ab72061,task2-1,save pandas dataframe to a file,0
57,2ceafaf6a21d6cb6495038b38ab72061,task2-2,get the file extension,0
58,2ceafaf6a21d6cb6495038b38ab72061,task2-2,copy file `ddd.png`,1
59,2ceafaf6a21d6cb6495038b38ab72061,task3-1,match regex year month day,0
60,2ceafaf6a21d6cb6495038b38ab72061,task3-1,copy a file to dist,1
61,2ceafaf6a21d6cb6495038b38ab72061,task3-1,make a folder recersively,0
62,2ceafaf6a21d6cb6495038b38ab72061,task6-1,a list of dictionary to pandas dataframe,0
63,2ceafaf6a21d6cb6495038b38ab72061,task6-1,list to an entry in pandas dataframe,0
64,2ceafaf6a21d6cb6495038b38ab72061,task6-1,save `compan_df` dataframe to a file,0
65,2ceafaf6a21d6cb6495038b38ab72061,task6-1,save `compand_df` dataframe to a file,0
66,2ceafaf6a21d6cb6495038b38ab72061,task6-1,cast a float to two decimals,1
67,2ceafaf6a21d6cb6495038b38ab72061,task6-1,cast a list to a dataframe,1
68,2ceafaf6a21d6cb6495038b38ab72061,task6-1,get the head of dataframe `df`,0
69,2ceafaf6a21d6cb6495038b38ab72061,task6-1,add a new column to a dataframe row,0
70,2ceafaf6a21d6cb6495038b38ab72061,task6-1,create a dataframe from a list,1
71,2ceafaf6a21d6cb6495038b38ab72061,task6-1,sort dataframe `jdf` by `scores`,1
72,2ceafaf6a21d6cb6495038b38ab72061,task6-1,sort dataframe `jdf` by the values of column 'scores',1
73,2ceafaf6a21d6cb6495038b38ab72061,task6-2,linear regressor 5 folder cross validation,0
74,2ceafaf6a21d6cb6495038b38ab72061,task6-2,"sklearn cross validation x, y for 5 folds",0
75,2ceafaf6a21d6cb6495038b38ab72061,task6-2,set numpy random seed to 0,0
76,67e86a0cb1f9b6cae0e8d6c4b24711de,task1-2,datetime,1
77,67e86a0cb1f9b6cae0e8d6c4b24711de,task1-2,get datetime,0
78,67e86a0cb1f9b6cae0e8d6c4b24711de,task1-2,time add,1
79,67e86a0cb1f9b6cae0e8d6c4b24711de,task1-2,format datetime,0
80,67e86a0cb1f9b6cae0e8d6c4b24711de,task2-2,copy file,1
81,67e86a0cb1f9b6cae0e8d6c4b24711de,task2-2,readline encoding,0
82,34b1ef17e6625ba2350f6f1c169591a1,task1-1,random,0
83,34b1ef17e6625ba2350f6f1c169591a1,task1-1,random,0
84,34b1ef17e6625ba2350f6f1c169591a1,task1-1,random,0
85,34b1ef17e6625ba2350f6f1c169591a1,task1-1,random characters,0
86,34b1ef17e6625ba2350f6f1c169591a1,task1-1,defaultdict,0
87,34b1ef17e6625ba2350f6f1c169591a1,task1-1,sort key of dict,1
