,user,task,total_query_count,generation_count,retrieval_count
0,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task1-1,1,0,1
1,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task1-2,3,2,1
2,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task2-1,1,1,0
3,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task2-2,0,0,0
4,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task3-1,2,2,0
5,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task3-2,0,0,0
6,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-1,15,3,12
7,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task6-2,3,0,3
8,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-1,7,2,5
9,0ed2dff1d23b0de1cfcf9edb0ba35b1c,task7-2,9,2,7
10,c4196119198c1bd6dce9ad020501698d,task1-1,4,3,1
11,c4196119198c1bd6dce9ad020501698d,task1-2,0,0,0
12,c4196119198c1bd6dce9ad020501698d,task2-1,0,0,0
13,c4196119198c1bd6dce9ad020501698d,task2-2,6,2,4
14,2ceafaf6a21d6cb6495038b38ab72061,task1-1,0,0,0
15,2ceafaf6a21d6cb6495038b38ab72061,task1-2,3,2,1
16,2ceafaf6a21d6cb6495038b38ab72061,task2-1,3,0,3
17,2ceafaf6a21d6cb6495038b38ab72061,task2-2,2,1,1
18,2ceafaf6a21d6cb6495038b38ab72061,task3-1,3,1,2
19,2ceafaf6a21d6cb6495038b38ab72061,task3-2,0,0,0
20,2ceafaf6a21d6cb6495038b38ab72061,task6-1,11,5,6
21,2ceafaf6a21d6cb6495038b38ab72061,task6-2,3,0,3
22,67e86a0cb1f9b6cae0e8d6c4b24711de,task1-1,0,0,0
23,67e86a0cb1f9b6cae0e8d6c4b24711de,task1-2,4,2,2
24,67e86a0cb1f9b6cae0e8d6c4b24711de,task2-1,0,0,0
25,67e86a0cb1f9b6cae0e8d6c4b24711de,task2-2,2,1,1
26,67e86a0cb1f9b6cae0e8d6c4b24711de,task3-1,0,0,0
27,67e86a0cb1f9b6cae0e8d6c4b24711de,task3-2,0,0,0
28,67e86a0cb1f9b6cae0e8d6c4b24711de,task6-1,0,0,0
29,67e86a0cb1f9b6cae0e8d6c4b24711de,task6-2,0,0,0
30,34b1ef17e6625ba2350f6f1c169591a1,task1-1,8,2,6
31,34b1ef17e6625ba2350f6f1c169591a1,task1-2,0,0,0
32,34b1ef17e6625ba2350f6f1c169591a1,task2-1,0,0,0
33,34b1ef17e6625ba2350f6f1c169591a1,task2-2,5,3,2
34,34b1ef17e6625ba2350f6f1c169591a1,task6-1,13,7,6
35,34b1ef17e6625ba2350f6f1c169591a1,task6-2,0,0,0
36,34b1ef17e6625ba2350f6f1c169591a1,task7-1,0,0,0
37,34b1ef17e6625ba2350f6f1c169591a1,task7-2,5,2,3
38,138ca13c6ba8814e8e4aea9853d66b69,task1-1,3,1,2
39,138ca13c6ba8814e8e4aea9853d66b69,task1-2,0,0,0
40,138ca13c6ba8814e8e4aea9853d66b69,task2-1,0,0,0
41,138ca13c6ba8814e8e4aea9853d66b69,task2-2,3,3,0
42,79c72fefe0d6c99e61fd23d297db9f10,task1-1,0,0,0
43,79c72fefe0d6c99e61fd23d297db9f10,task1-2,0,0,0
44,79c72fefe0d6c99e61fd23d297db9f10,task2-1,0,0,0
45,79c72fefe0d6c99e61fd23d297db9f10,task2-2,0,0,0
46,79c72fefe0d6c99e61fd23d297db9f10,task6-1,0,0,0
47,79c72fefe0d6c99e61fd23d297db9f10,task6-2,0,0,0
48,79c72fefe0d6c99e61fd23d297db9f10,task7-1,0,0,0
49,79c72fefe0d6c99e61fd23d297db9f10,task7-2,0,0,0
50,2350ca5cc5bf54fca0b2499ae103d8b1,task1-1,0,0,0
51,2350ca5cc5bf54fca0b2499ae103d8b1,task1-2,0,0,0
52,2350ca5cc5bf54fca0b2499ae103d8b1,task2-1,0,0,0
53,2350ca5cc5bf54fca0b2499ae103d8b1,task2-2,1,0,1
54,2350ca5cc5bf54fca0b2499ae103d8b1,task3-1,0,0,0
55,2350ca5cc5bf54fca0b2499ae103d8b1,task3-2,0,0,0
56,2350ca5cc5bf54fca0b2499ae103d8b1,task6-1,0,0,0
57,2350ca5cc5bf54fca0b2499ae103d8b1,task6-2,1,0,1
58,844088c7077d499fa3533250ae504e7f,task1-1,3,0,3
59,844088c7077d499fa3533250ae504e7f,task1-2,4,0,4
60,844088c7077d499fa3533250ae504e7f,task2-1,2,0,2
61,844088c7077d499fa3533250ae504e7f,task2-2,5,1,4
62,844088c7077d499fa3533250ae504e7f,task3-1,0,0,0
63,844088c7077d499fa3533250ae504e7f,task3-2,0,0,0
64,844088c7077d499fa3533250ae504e7f,task4-1,0,0,0
65,844088c7077d499fa3533250ae504e7f,task4-2,0,0,0
66,3d15fb351f9dfabd41e2b2fb142dad71,task1-1,0,0,0
67,3d15fb351f9dfabd41e2b2fb142dad71,task1-2,3,2,1
68,3d15fb351f9dfabd41e2b2fb142dad71,task2-1,0,0,0
69,a061d03ba2e23bf8f3861f78d7d62248,task1-1,2,2,0
70,a061d03ba2e23bf8f3861f78d7d62248,task1-2,0,0,0
71,a061d03ba2e23bf8f3861f78d7d62248,task2-1,4,3,1
72,a061d03ba2e23bf8f3861f78d7d62248,task2-2,0,0,0
73,a061d03ba2e23bf8f3861f78d7d62248,task3-1,0,0,0
74,a061d03ba2e23bf8f3861f78d7d62248,task3-2,3,1,2
75,a061d03ba2e23bf8f3861f78d7d62248,task6-1,0,0,0
76,a061d03ba2e23bf8f3861f78d7d62248,task6-2,2,1,1
77,eb8c0b297db7d9e210c3b804373339a2,task1-1,0,0,0
